Cost Group,Cost Item,Description,Quantity,Unit,Unit Cost,Cost Type,Taxable
General Conditions,Building Permits,City of Charleston residential building permit,1,Each,350.00,Permits / Fees,false
General Conditions,Supervision,Project management and site supervision,8,Hours,65.00,Labor,false
Demolition & Abatement,Interior Demolition,Remove existing kitchen cabinets and countertops,6,Hours,45.00,Labor,false
Demolition & Abatement,Waste Management,10-yard dumpster rental for demolition debris,1,Lump Sum,450.00,Other,false
Framing & Structural,Framing Labor,Frame new kitchen island wall — 2x4 construction,4,Hours,55.00,Labor,false
Framing & Structural,Fasteners & Connectors,Structural screws and framing nails — 2 boxes,2,Boxes,18.00,Materials,true
Electrical,Electrical Rough-In,Install 3 new 20A circuits for kitchen appliances,6,Hours,85.00,Labor,false
Electrical,Lighting Fixtures,Under-cabinet LED lighting and pendant fixtures,1,Lump Sum,175.00,Materials,true
Plumbing,Plumbing Rough-In,Relocate kitchen sink supply and drain lines,5,Hours,90.00,Labor,false
Plumbing,Plumbing Fixtures,Kitchen sink and faucet installation,1,Lump Sum,120.00,Materials,true
Cabinetry & Millwork,Cabinet Installation,Install 12 LF base and 10 LF wall cabinets,8,Hours,55.00,Labor,false
Cabinetry & Millwork,Kitchen Cabinets,Shaker-style maple cabinets — base and wall units,1,Lump Sum,4200.00,Materials,true
Countertops,Countertop Installation,Template and install quartz countertops,1,Lump Sum,2800.00,Subcontractor,true
Painting & Wall Covering,Interior Painting,Prime and paint kitchen walls — 2 coats,6,Hours,45.00,Labor,false
Painting & Wall Covering,Paint Materials,Sherwin-Williams ProMar 200 interior latex — 3 gallons,3,Gallons,42.00,Materials,true
Cleaning & Final,Job Cleanup,Post-construction detail cleaning,3,Hours,35.00,Labor,false
